"It wasn’t a worthwhile business venture, we ended up losing money.[sound:C:/Users/saull/Documents/Apps/Anki/audios/It_wasnt_a_worthwhile_business_venture,_we_ended_up_losing_money.wav]","Não foi um empreendimento comercial valioso, acabamos perdendo dinheiro."
"Good riddance, I'm glad he's no longer working here.[sound:C:/Users/saull/Documents/Apps/Anki/audios/Good_riddance,_Im_glad_hes_no_longer_working_here.wav]","Que bom, estou feliz que ele não está mais trabalhando aqui."
"I’ve never been there, but I've heard it's a beautiful city.[sound:C:/Users/saull/Documents/Apps/Anki/audios/Ive_never_been_there,_but_Ive_heard_its_a_beautiful_city.wav]","Eu nunca estive lá, mas ouvi dizer que é uma cidade linda."
"The new restaurant is pretty hip, we should try it out.[sound:C:/Users/saull/Documents/Apps/Anki/audios/The_new_restaurant_is_pretty_hip,_we_should_try_it_out.wav]","O novo restaurante é bem legal, devemos experimentá-lo."
"The garden is lush and green, it's a perfect spot for a picnic.[sound:C:/Users/saull/Documents/Apps/Anki/audios/The_garden_is_lush_and_green,_its_a_perfect_spot_for_a_picnic.wav]","O jardim é luxuriante e verde, é um local perfeito para um piquenique."
"The hike up the mountain was challenging, but the view was worth it.[sound:C:/Users/saull/Documents/Apps/Anki/audios/The_hike_up_the_mountain_was_challenging,_but_the_view_was_worth_it.wav]","A caminhada até o topo da montanha foi desafiadora, mas a vista valeu a pena."
You can hop over the fence to get to the other side.[sound:C:/Users/saull/Documents/Apps/Anki/audios/You_can_hop_over_the_fence_to_get_to_the_other_side.wav],Você pode pular a cerca para chegar ao outro lado.
The flaw in the design is what caused the product to fail.[sound:C:/Users/saull/Documents/Apps/Anki/audios/The_flaw_in_the_design_is_what_caused_the_product_to_fail.wav],O defeito no design foi o que fez o produto falhar.
Do you think so? I'm not sure I agree with you.[sound:C:/Users/saull/Documents/Apps/Anki/audios/Do_you_think_so_Im_not_sure_I_agree_with_you.wav],Você acha mesmo? Eu não estou certo de que concordo com você.
Desde quando você começou a aprender inglês?[sound:C:/Users/saull/Documents/Apps/Anki/audios/Desde_quando_você_começou_a_aprender_inglês.wav],Since when did you start learning English?
She always wears shades to protect her eyes from the sun.[sound:C:/Users/saull/Documents/Apps/Anki/audios/She_always_wears_shades_to_protect_her_eyes_from_the_sun.wav],Ela sempre usa óculos de sol para proteger os olhos do sol.
"You're being silly, stop making jokes and focus on the task at hand.[sound:C:/Users/saull/Documents/Apps/Anki/audios/Youre_being_silly,_stop_making_jokes_and_focus_on_the_task_at_hand.wav]","Você está sendo bobo, pare de fazer piadas e se concentre na tarefa em questão."
"The situation is pretty serious, we need to take action immediately.[sound:C:/Users/saull/Documents/Apps/Anki/audios/The_situation_is_pretty_serious,_we_need_to_take_action_immediately.wav]","A situação é bem séria, precisamos tomar medidas imediatamente."
"Mainly, I'm responsible for managing the team and making decisions.[sound:C:/Users/saull/Documents/Apps/Anki/audios/Mainly,_Im_responsible_for_managing_the_team_and_making_decisions.wav]","Principalmente, eu sou responsável por gerenciar a equipe e tomar decisões."
The company primarily focuses on providing excellent customer service.[sound:C:/Users/saull/Documents/Apps/Anki/audios/The_company_primarily_focuses_on_providing_excellent_customer_service.wav],A empresa se concentra principalmente em fornecer serviço de atendimento ao cliente excelente.
